MAL_ID	Name	Score	Genres	English name	Japanese name	Type	Episodes	Aired	Premiered	Producers	Licensors	Studios	Source	Duration	Rating	Ranked	Popularity	Members	Favorites	Watching	Completed	On-Hold	Dropped	Plan to Watch	Score-10	Score-9	Score-8	Score-7	Score-6	Score-5	Score-4	Score-3	Score-2	Score-1
25	Sunabouzu	7,42	Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen	Desert Punk	____	TV	24	Oct 6, 2004 to Mar 30, 2005	Fall 2004	GDH, Pony Canyon, CBC	Funimation	Gonzo	Manga	24 min. per ep.	R - 17+ (violence & profanity)	1844	1284	111734	790	6273	53819	6255	7951	37436	3589	6664	12349	12702	6033	3079	1521	643	350	297
26	Texhnolyze	7,76	Action, Sci-Fi, Psychological, Drama	Texhnolyze	TEXHNOLYZE	TV	22	Apr 17, 2003 to Sep 25, 2003	Spring 2003	Group TAC, Rondo Robe, Fuji TV, Pioneer LDC	Funimation, Geneon Entertainment USA	Madhouse	Original	23 min. per ep.	R+ - Mild Nudity	896	823	182599	3671	11335	47532	9815	8112	105805	6856	8309	10851	8636	4429	2462	1456	684	411	664
27	Trinity Blood	7,32	Action, Supernatural, Vampire	Trinity Blood	__________	TV	24	Apr 29, 2005 to Oct 28, 2005	Spring 2005	Unknown	Funimation	Gonzo	Light novel	24 min. per ep.	R - 17+ (violence & profanity)	2240	936	158343	1479	7794	87958	8940	9349	44302	6091	9759	17761	20152	10273	5392	2250	873	456	298
28	Yakitate!! Japan	7,95	Comedy, Shounen	Yakitate!! Japan	____!! ____	TV	69	Oct 12, 2004 to Mar 14, 2006	Fall 2004	TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa	Nozomi Entertainment	Sunrise	Manga	24 min. per ep.	PG-13 - Teens 13 or older	609	1666	80183	887	5007	39992	5764	4633	24787	4347	7425	11074	7965	3038	1248	345	118	56	58
29	Zipang	7,51	Action, Military, Sci-Fi, Historical, Drama, Seinen	Unknown	____	TV	26	Oct 8, 2004 to Apr 1, 2005	Fall 2004	Marvelous, TBS	Geneon Entertainment USA	Studio Deen	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1565	3985	16652	152	857	6807	721	599	7668	430	874	1801	1696	662	279	114	38	13	28
30	Neon Genesis Evangelion	8,32	Action, Sci-Fi, Dementia, Psychological, Drama, Mecha	Neon Genesis Evangelion	___________	TV	26	Oct 4, 1995 to Mar 27, 1996	Fall 1995	TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka	ADV Films, Netflix	Gainax, Tatsunoko Production	Original	24 min. per ep.	PG-13 - Teens 13 or older	208	54	1160651	71308	66549	815938	35566	20358	222240	186797	168056	157596	93532	38385	17571	9686	4408	3263	3714
31	Neon Genesis Evangelion: Death & Rebirth	7,45	Drama, Mecha, Psychological, Sci-Fi	Neon Genesis Evangelion:Death & Rebirth	ê______________ ____	Movie	1	Mar 15, 1997	Unknown	Movic, Sega, TV Tokyo Music, Audio Tanaka	Manga Entertainment	Gainax, Production I.G	Original	1 hr. 44 min.	R - 17+ (violence & profanity)	1742	833	180681	588	1941	146202	1069	961	30508	13516	15245	23683	25396	12694	6313	2636	1042	654	737
32	Neon Genesis Evangelion: The End of Evangelion	8,51	Sci-Fi, Dementia, Psychological, Drama, Mecha	Neon Genesis Evangelion:The End of Evangelion	______________ THE END OF EVANGELION	Movie	1	Jul 19, 1997	Unknown	TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka	Manga Entertainment	Gainax, Production I.G	Original	1 hr. 27 min.	R+ - Mild Nudity	102	195	572080	17811	8055	482918	2462	1499	77146	127081	95821	77593	41261	16444	7057	4493	2279	1941	2264
33	Kenpuu Denki Berserk	8,49	Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural	Berserk	_________	TV	25	Oct 8, 1997 to Apr 1, 1998	Fall 1997	VAP, Hakusensha, Nippon Television Network	Media Blasters, NYAV Post	OLM	Manga	25 min. per ep.	R+ - Mild Nudity	108	301	432190	18567	19540	276588	12737	9406	113919	58627	65906	60815	29055	9477	3899	1748	671	456	842
43	Koukaku Kidoutai	8,29	Action, Mecha, Police, Psychological, Sci-Fi, Seinen	Ghost in the Shell	GHOST IN THE SHELL_______	Movie	1	Nov 18, 1995	Unknown	Bandai Visual, Kodansha	Manga Entertainment	Production I.G	Manga	1 hr. 22 min.	R+ - Mild Nudity	236	265	468279	10362	8152	325682	3404	1927	129114	56237	65298	70881	39446	13704	5107	1842	675	292	486
44	Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen	8,73	Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen	Samurai X:Trust and Betrayal	__________________	OVA	4	Feb 20, 1999 to Sep 22, 1999	Unknown	Aniplex	ADV Films, Aniplex of America	Studio Deen	Manga	30 min. per ep.	R - 17+ (violence & profanity)	37	637	228484	6111	6359	150183	3124	1836	66982	39845	33317	25800	11782	3575	1393	448	163	106	490
45	Rurouni Kenshin: Meiji Kenkaku Romantan	8,31	Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen	Rurouni Kenshin	______ -_______-	TV	94	Jan 10, 1996 to Sep 8, 1998	Winter 1996	Aniplex, SME Visual Works, Fuji TV	Media Blasters	Gallop, Studio Deen	Manga	25 min. per ep.	PG-13 - Teens 13 or older	220	345	386195	11236	29540	216154	30655	18588	91258	38050	50380	57604	33295	10220	3867	1167	372	176	314
46	Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka	7,56	Samurai, Historical, Drama, Shounen	Samurai X:The Motion Picture	______ -_______- _________	Movie	1	Dec 20, 1997	Unknown	Fuji TV, Sony Music Entertainment	ADV Films, Aniplex of America	Gallop	Manga	1 hr. 31 min.	R - 17+ (violence & profanity)	1397	2411	44334	107	547	34481	438	228	8640	2958	3683	6232	6557	2832	1310	426	129	71	59
47	Akira	8,17	Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen	AKIRA	AKIRA_____	Movie	1	Jul 16, 1988	Unknown	Mainichi Broadcasting System, Kodansha, Toho	Funimation, Bandai Entertainment, Geneon Entertainment USA	Tokyo Movie Shinsha	Manga	2 hr. 4 min.	R+ - Mild Nudity	333	197	566538	9555	8258	434086	3491	2174	118529	77192	82148	91288	54906	22369	9462	4322	1737	992	1067
48	.hack//Sign	6,98	Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy	.hack//Sign	.hack//SIGN	TV	26	Apr 4, 2002 to Sep 26, 2002	Spring 2002	Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2	Funimation, Bandai Entertainment	Bee Train	Original	24 min. per ep.	PG-13 - Teens 13 or older	3687	940	158227	1359	6733	91528	8315	11881	39770	5266	8051	15537	20391	12617	7610	3688	1502	825	619
49	Aa! Megami-sama!	7,32	Comedy, Magic, Romance, Seinen, Supernatural	Oh! My Goddess	________	OVA	5	Feb 21, 1993 to May 17, 1994	Unknown	Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion	AnimEigo	AIC	Manga	30 min. per ep.	PG-13 - Teens 13 or older	2226	2360	46428	267	993	34581	860	894	9100	2021	3077	5826	7079	3737	1795	433	172	59	46
50	Aa! Megami-sama! (TV)	7,35	Comedy, Supernatural, Magic, Romance, Seinen	Ah! My Goddess	________	TV	24	Jan 7, 2005 to Jul 8, 2005	Winter 2005	Bandai Visual, TBS, Imagine	Media Blasters, NYAV Post	AIC	Manga	24 min. per ep.	PG-13 - Teens 13 or older	2116	1083	135747	1124	5841	85884	6517	7971	29534	5425	9097	17037	20033	10160	5221	1678	591	291	214
51	Tenshi Kinryouku	6,31	Action, Drama, Romance, Shoujo, Supernatural	Angel Sanctuary	_____	OVA	3	May 25, 2000 to Aug 25, 2000	Unknown	Bandai Visual, AIC, Lantis, Audio Tanaka	Media Blasters	Hal Film Maker	Manga	30 min. per ep.	R+ - Mild Nudity	6823	2419	43960	215	812	32981	749	1311	8107	1464	2043	3490	5450	5008	3621	2115	992	689	415
52	Kidou Tenshi Angelic Layer	7,26	Sci-Fi, Comedy, Sports, Drama, Shounen	Battle Doll Angelic Layer	_______________	TV	26	Apr 1, 2001 to Sep 23, 2001	Spring 2001	TV Tokyo Music	ADV Films, Sentai Filmworks	Bones	Manga	24 min. per ep.	PG-13 - Teens 13 or older	2529	2232	51022	290	1653	32978	2615	2852	10924	1644	3245	6253	7975	4261	2092	579	211	89	87
53	Ai Yori Aoshi	7,14	Harem, Slice of Life, Comedy, Drama, Romance	Ai Yori Aoshi	_____	TV	24	Apr 11, 2002 to Sep 26, 2002	Spring 2002	Movic, Fuji TV, Pioneer LDC, Cosmic Ray	Funimation, Geneon Entertainment USA	J.C.Staff	Manga	23 min. per ep.	PG-13 - Teens 13 or older	3012	1465	94793	458	4111	60075	4160	5814	20633	3124	5402	10587	13835	8066	4414	1627	609	287	206
54	Appleseed (Movie)	7,1	Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen	Unknown	_______	Movie	1	Apr 17, 2004	Unknown	Mainichi Broadcasting System, Toho, TYO Animations, TYO	Sentai Filmworks, Geneon Entertainment USA	Digital Frontier	Manga	1 hr. 45 min.	R - 17+ (violence & profanity)	3206	1901	65139	173	787	52100	403	489	11360	2107	4369	8991	11644	6182	3050	1249	451	213	113
55	Arc the Lad	6,53	Action, Adventure, Fantasy, Horror, Sci-Fi	Unknown	_______	TV	26	Apr 5, 1999 to Sep 11, 1999	Spring 1999	Sony Pictures Entertainment, Aniplex	ADV Films	Bee Train	Game	22 min. per ep.	R - 17+ (violence & profanity)	5738	4259	14187	17	581	7032	718	910	4946	174	271	762	1605	1252	814	297	108	50	37
56	Avenger	5,91	Adventure, Fantasy, Sci-Fi, Shounen	Unknown	_______	TV	13	Oct 2, 2003 to Dec 25, 2003	Fall 2003	Production I.G	Bandai Entertainment	Bee Train, Xebec	Original	24 min. per ep.	R - 17+ (violence & profanity)	8501	4073	15779	21	617	7906	712	1255	5289	166	259	699	1335	1371	1135	698	343	222	133
57	Beck	8,31	Comedy, Drama, Music, Shounen, Slice of Life	Beck:Mongolian Chop Squad	___	TV	26	Oct 7, 2004 to Mar 31, 2005	Fall 2004	Marvelous, Starchild Records, Asatsu DK, Kodansha	Funimation	Madhouse	Manga	25 min. per ep.	R - 17+ (violence & profanity)	221	570	255668	7038	10580	133432	10190	8488	92978	23840	31103	30926	17566	6598	3000	1173	446	225	235
58	Blue Gender	7,05	Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama	Blue Gender	BLUE GENDER	TV	26	Oct 8, 1999 to Mar 31, 2000	Fall 1999	Youmex, Toshiba EMI	Funimation	AIC	Original	23 min. per ep.	R+ - Mild Nudity	3455	1886	65360	389	2738	31583	2534	3195	25310	1451	2733	5800	7810	4354	2327	1012	381	229	168
59	Chobits	7,43	Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen	Chobits	_____	TV	26	Apr 3, 2002 to Sep 25, 2002	Spring 2002	TBS, Pioneer LDC	Funimation, Geneon Entertainment USA	Madhouse	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1804	332	402646	3859	15294	272425	18082	22409	74436	20499	32733	55560	58689	29800	14855	5772	2124	1159	816
60	Chrno Crusade	7,66	Action, Demons, Historical, Romance, Shounen, Supernatural	Chrono Crusade	________	TV	24	Nov 25, 2003 to Jun 10, 2004	Fall 2003	Lantis, Kadokawa Shoten, Fuji TV	ADV Films, Funimation	Gonzo	Manga	23 min. per ep.	R - 17+ (violence & profanity)	1120	742	198007	2064	8228	117484	9881	9842	52572	11469	16051	25109	23075	11012	5331	1919	652	280	256
61	D.N.Angel	7,2	Action, Comedy, Magic, Romance, Fantasy, School, Shoujo	D.N.Angel	_________	TV	26	Apr 3, 2003 to Sep 25, 2003	Spring 2003	Kadokawa Shoten	ADV Films, Discotek Media	Xebec	Manga	23 min. per ep.	PG-13 - Teens 13 or older	2761	891	167615	1523	5183	117045	7599	11057	26731	7515	11105	19858	25101	15032	8167	3203	1092	595	378
62	D.C.: Da Capo	6,77	Harem, Drama, Magic, Romance	D.C.~Da Capo~	D.C._______	TV	26	Jul 5, 2003 to Dec 27, 2003	Summer 2003	Lantis, King Records	Unknown	feel., Zexcs	Visual novel	24 min. per ep.	PG-13 - Teens 13 or older	4589	1852	67491	189	3024	36037	2840	3852	21738	1542	2446	5172	7807	5472	3340	1493	645	376	242
63	DearS	6,62	Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen	DearS	_____	TV	12	Jul 11, 2004 to Sep 26, 2004	Summer 2004	Bandai Visual, Hal Film Maker, Genco, Lantis	Discotek Media, Geneon Entertainment USA	Daume	Manga	23 min. per ep.	R+ - Mild Nudity	5274	1146	128788	391	3766	95113	3066	5507	21336	3464	5632	11499	19352	14791	8839	4070	1863	1029	730
64	Rozen Maiden	7,44	Action, Comedy, Drama, Magic, Seinen	Rozen Maiden	________	TV	12	Oct 8, 2004 to Dec 24, 2004	Fall 2004	Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack	Sentai Filmworks, Geneon Entertainment USA	Nomad	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1782	846	176775	2074	5599	113914	6040	7852	43370	7868	12729	23021	23961	11535	5531	2028	737	387	292
65	Rozen Maiden: Träumend	7,65	Action, Comedy, Drama, Magic, Seinen	Rozen Maiden:Träumend	________ ______	TV	12	Oct 21, 2005 to Jan 27, 2006	Fall 2005	Mellow Head, TBS	Sentai Filmworks, Geneon Entertainment USA	Nomad	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1146	1479	93768	516	2006	73523	2114	1647	14478	5500	9205	15835	14172	5733	2345	760	255	95	97
66	Azumanga Daioh	7,98	Slice of Life, Comedy, School	Azumanga Daioh:The Animation	_______ THE ANIMATION	TV	26	Apr 9, 2002 to Oct 1, 2002	Spring 2002	Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records	ADV Films, Sentai Filmworks	J.C.Staff	4-koma manga	24 min. per ep.	PG-13 - Teens 13 or older	555	554	262980	5181	13747	143431	16133	13115	76554	18422	27283	35693	25478	10326	5162	1797	707	406	412
67	Basilisk: Kouga Ninpou Chou	7,58	Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy	Basilisk	_____ _____	TV	24	Apr 13, 2005 to Sep 21, 2005	Spring 2005	GDH, Kodansha, Sotsu Music Publishing	Funimation	Gonzo	Manga	24 min. per ep.	R - 17+ (violence & profanity)	1325	940	156661	1467	6964	82153	6380	6957	54207	6677	11140	19570	17421	7816	3800	1554	643	316	244
68	Black Cat (TV)	7,38	Sci-Fi, Adventure, Comedy, Super Power, Shounen	Black Cat	________	TV	23	Oct 7, 2005 to Mar 31, 2006	Fall 2005	GDH, Dentsu, TBS, Sotsu Music Publishing	Funimation	Gonzo	Manga	24 min. per ep.	PG-13 - Teens 13 or older	1965	622	231668	1955	10510	142921	11736	11003	55498	8654	15253	29392	34019	16081	7534	2521	863	395	234
69	Cluster Edge	6,35	Action, Fantasy, Military, Sci-Fi	Unknown	CLUSTER EDGE__________	TV	25	Oct 5, 2005 to Mar 29, 2006	Fall 2005	Bandai Visual, Imagine	Sentai Filmworks	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	6646	5061	9299	13	500	3068	629	942	4160	113	162	372	652	627	412	261	108	62	31
71	Full Metal Panic!	7,65	Action, Military, Sci-Fi, Comedy, Mecha	Full Metal Panic!	___________	TV	24	Jan 8, 2002 to Jun 18, 2002	Winter 2002	Kadokawa Shoten	ADV Films, Funimation	Gonzo	Light novel	24 min. per ep.	R - 17+ (violence & profanity)	1146	322	411230	4417	17458	264665	16076	13806	99225	17675	36500	64969	56993	21492	9171	3035	991	448	329
72	Full Metal Panic? Fumoffu	8,07	Action, Comedy, School	Full Metal Panic? Fumoffu	__________? ____	TV	12	Aug 26, 2003 to Oct 18, 2003	Summer 2003	Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do	ADV Films, Funimation	Kyoto Animation	Light novel	24 min. per ep.	PG-13 - Teens 13 or older	452	571	254465	2988	5383	204041	4435	3533	37073	24023	37507	45884	30305	11085	4417	1332	442	194	164
73	Full Metal Panic! The Second Raid	7,96	Action, Military, Mecha	Full Metal Panic! The Second Raid	_____ _____The Second Raid	TV	13	Jul 14, 2005 to Oct 20, 2005	Summer 2005	Kadokawa Shoten, Happinet Pictures	ADV Films, Funimation, Kadokawa Pictures USA	Kyoto Animation	Light novel	24 min. per ep.	R - 17+ (violence & profanity)	579	639	227927	1358	4667	177524	3840	2271	39625	14139	30146	45246	29917	9377	3127	816	235	115	129
74	Gakuen Alice	7,65	Comedy, School, Shoujo, Super Power	Gakuen Alice	_____	TV	26	Oct 30, 2004 to May 14, 2005	Fall 2004	Aniplex, Sogo Vision	Nozomi Entertainment	Group TAC	Manga	25 min. per ep.	G - All Ages	1158	1640	81446	1613	2495	57369	2843	2916	15823	5560	7151	11074	11158	5331	2357	618	214	115	104
75	Soukyuu no Fafner: Dead Aggressor	7,3	Action, Drama, Mecha, Military, Sci-Fi	Fafner of the Blue Sky	________Dead Aggressor	TV	25	Jul 5, 2004 to Dec 27, 2004	Summer 2004	TV Tokyo Music, King Records	Funimation, Geneon Entertainment USA	Xebec	Original	24 min. per ep.	PG-13 - Teens 13 or older	2348	2523	40602	255	2179	16417	1849	1987	18170	926	1667	3344	3838	1827	955	424	184	94	71
76	Mahou Shoujo Lyrical Nanoha	7,42	Action, Comedy, Drama, Magic, Super Power	Magical Girl Lyrical Nanoha	___________	TV	13	Oct 3, 2004 to Dec 26, 2004	Fall 2004	Starchild Records, Omnibus Japan	Geneon Entertainment USA	Seven Arcs	Original	25 min. per ep.	PG-13 - Teens 13 or older	1828	1550	88890	1036	3287	47731	2865	2625	32382	3193	5032	9945	10737	4999	2363	736	276	140	112
77	Mahou Shoujo Lyrical Nanoha A's	7,99	Action, Comedy, Drama, Magic, Super Power	Magical Girl Lyrical Nanoha A's	___________ ___	TV	13	Oct 2, 2005 to Dec 25, 2005	Fall 2005	Starchild Records, Omnibus Japan	Geneon Entertainment USA	Seven Arcs	Original	25 min. per ep.	PG-13 - Teens 13 or older	551	2075	56981	1014	1367	40165	1088	828	13533	4189	6809	9368	6267	2220	864	250	83	53	71
79	Shuffle!	7,09	Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen	Shuffle!	SHUFFLE! (_____!)	TV	24	Jul 8, 2005 to Jan 6, 2006	Summer 2005	Xebec, Lantis, Memory-Tech	Funimation	Asread	Visual novel	23 min. per ep.	R+ - Mild Nudity	3231	600	240751	1572	10943	151944	9558	13227	55079	8852	14660	26443	32343	18951	10530	5019	2184	1323	1088
80	Mobile Suit Gundam	7,78	Action, Military, Sci-Fi, Space, Mecha	Mobile Suit Gundam	________	TV	43	Apr 7, 1979 to Jan 26, 1980	Spring 1979	Sotsu, Nagoya Broadcasting Network	Nozomi Entertainment, Bandai Entertainment	Sunrise	Original	25 min. per ep.	PG-13 - Teens 13 or older	867	1427	97216	1787	7737	52669	5473	3100	28237	5395	7488	12922	11417	4169	1598	505	179	59	104
81	Mobile Suit Gundam: The 08th MS Team	8,03	Adventure, Drama, Mecha, Military, Romance, Sci-Fi	Mobile Suit Gundam:The 08th MS Team	________ _08MS__	OVA	12	Jan 25, 1996 to Jul 25, 1999	Unknown	Atelier Musa	Bandai Entertainment	Sunrise	Original	25 min. per ep.	PG-13 - Teens 13 or older	511	1948	62655	911	2405	43537	1437	794	14482	4241	8768	11589	6745	2121	819	262	87	38	50
82	Mobile Suit Gundam 0080: War in the Pocket	7,9	Military, Sci-Fi, Space, Drama, Mecha	Mobile Suit Gundam 0080:War in the Pocket	________ 0080 _________	OVA	6	Mar 25, 1989 to Aug 25, 1989	Unknown	Bandai Visual	Nozomi Entertainment, Bandai Entertainment	Sunrise	Original	27 min. per ep.	PG-13 - Teens 13 or older	677	2444	43308	717	978	30112	595	392	11231	2957	5210	7398	5147	1817	748	236	82	36	47
83	Mobile Suit Gundam: The 08th MS Team - Miller's Report	6,79	Military, Sci-Fi, Drama, Romance, Mecha	Unknown	________ _08MS__ _________	Movie	1	Aug 1, 1998	Unknown	Sotsu, Atelier Musa	Bandai Entertainment	Sunrise	Original	52 min.	PG-13 - Teens 13 or older	4498	4660	11460	3	149	8314	130	136	2731	275	461	1054	1788	1273	630	193	73	30	22
84	Mobile Suit Gundam 0083: Stardust Memory	7,3	Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha	Mobile Suit Gundam 0083:Stardust Memory	________0083 STARDUST MEMORY	OVA	13	May 23, 1991 to Sep 24, 1992	Unknown	Bandai Visual	Nozomi Entertainment, Bandai Entertainment	Sunrise	Original	30 min. per ep.	PG-13 - Teens 13 or older	2361	2791	33687	230	977	24492	715	448	7055	1167	2602	5380	5460	2544	1163	497	180	58	41
85	Mobile Suit Zeta Gundam	7,92	Military, Sci-Fi, Space, Drama, Romance, Mecha	Mobile Suit Zeta Gundam	_________	TV	50	Mar 2, 1985 to Feb 22, 1986	Spring 1985	Sotsu, Nagoya Broadcasting Network	Nozomi Entertainment, Bandai Entertainment	Sunrise	Original	24 min. per ep.	PG-13 - Teens 13 or older	655	2159	53822	1721	3912	32798	2628	1049	13435	4021	5901	7986	5578	2118	896	392	152	65	97
